task_name,timestamp_us,state_or_value,type
SYSTEM_RAM,7538,3040,RAM
Blink,7571,RUNNING,STATE
Blink,7578,RUNNING,STATE
Sensor,7593,RUNNING,STATE
Sensor,8123,RUNNING,STATE
SYSTEM_RAM,8138,3040,RAM
SYSTEM_RAM,8273,3040,RAM
Sensor,57532,RUNNING,STATE
Sensor,58062,RUNNING,STATE
Sensor,107532,RUNNING,STATE
Sensor,108062,RUNNING,STATE
Sensor,157532,RUNNING,STATE
Sensor,158062,RUNNING,STATE
Blink,207533,RUNNING,STATE
Blink,207541,RUNNING,STATE
Sensor,207556,RUNNING,STATE
Sensor,208086,RUNNING,STATE
Sensor,257532,RUNNING,STATE
Sensor,258062,RUNNING,STATE
Sensor,307532,RUNNING,STATE
Sensor,308062,RUNNING,STATE
Sensor,357532,RUNNING,STATE
Sensor,358062,RUNNING,STATE
Blink,407533,RUNNING,STATE
Blink,407541,RUNNING,STATE
Sensor,407556,RUNNING,STATE
Sensor,408086,RUNNING,STATE
Sensor,457532,RUNNING,STATE
Sensor,458062,RUNNING,STATE
SYSTEM_RAM,507533,3040,RAM
Sensor,507550,RUNNING,STATE
Sensor,508080,RUNNING,STATE
Sensor,557532,RUNNING,STATE
Sensor,558062,RUNNING,STATE
Blink,607533,RUNNING,STATE
Blink,607541,RUNNING,STATE
Sensor,607556,RUNNING,STATE
Sensor,608086,RUNNING,STATE
Sensor,657532,RUNNING,STATE
Sensor,658062,RUNNING,STATE
Sensor,707532,RUNNING,STATE
Sensor,708062,RUNNING,STATE
Sensor,757532,RUNNING,STATE
Sensor,758062,RUNNING,STATE
Blink,807533,RUNNING,STATE
Blink,807541,RUNNING,STATE
Sensor,807556,RUNNING,STATE
Sensor,808086,RUNNING,STATE
Sensor,857532,RUNNING,STATE
Sensor,858062,RUNNING,STATE
Sensor,907532,RUNNING,STATE
Sensor,908062,RUNNING,STATE
Sensor,957532,RUNNING,STATE
Sensor,958062,RUNNING,STATE
Heavy,1007537,RUNNING,STATE
Blink,1007541,RUNNING,STATE
Sensor,1007546,RUNNING,STATE
SYSTEM_RAM,1007561,3040,RAM
Blink,1007576,RUNNING,STATE
Blink,1007584,RUNNING,STATE
Sensor,1007599,RUNNING,STATE
Sensor,1008129,RUNNING,STATE
Heavy,1057533,RUNNING,STATE
Sensor,1057549,RUNNING,STATE
Sensor,1058079,RUNNING,STATE
Sensor,1107532,RUNNING,STATE
Sensor,1108062,RUNNING,STATE
Sensor,1157532,RUNNING,STATE
Sensor,1158062,RUNNING,STATE
Blink,1207533,RUNNING,STATE
Blink,1207541,RUNNING,STATE
Sensor,1207556,RUNNING,STATE
Sensor,1208086,RUNNING,STATE
Sensor,1257532,RUNNING,STATE
Sensor,1258062,RUNNING,STATE
Sensor,1307532,RUNNING,STATE
Sensor,1308062,RUNNING,STATE
Sensor,1357532,RUNNING,STATE
Sensor,1358062,RUNNING,STATE
Blink,1407533,RUNNING,STATE
Blink,1407541,RUNNING,STATE
Sensor,1407556,RUNNING,STATE
Sensor,1408086,RUNNING,STATE
Sensor,1457532,RUNNING,STATE
Sensor,1458062,RUNNING,STATE
SYSTEM_RAM,1507533,3040,RAM
Sensor,1507550,RUNNING,STATE
Sensor,1508080,RUNNING,STATE
Sensor,1557532,RUNNING,STATE
Sensor,1558062,RUNNING,STATE
Blink,1607533,RUNNING,STATE
Blink,1607541,RUNNING,STATE
Sensor,1607556,RUNNING,STATE
Sensor,1608086,RUNNING,STATE
Sensor,1657532,RUNNING,STATE
Sensor,1658062,RUNNING,STATE
Sensor,1707532,RUNNING,STATE
Sensor,1708062,RUNNING,STATE
Sensor,1757532,RUNNING,STATE
Sensor,1758062,RUNNING,STATE
Blink,1807533,RUNNING,STATE
Sensor,1807540,RUNNING,STATE
Sensor,1807556,RUNNING,STATE
Sensor,1808086,RUNNING,STATE
Sensor,1857532,RUNNING,STATE
Sensor,1858062,RUNNING,STATE
Sensor,1907532,RUNNING,STATE
Sensor,1908062,RUNNING,STATE
Sensor,1957532,RUNNING,STATE
Sensor,1958062,RUNNING,STATE
SYSTEM_RAM,2007535,3040,RAM
SYSTEM_RAM,2007551,3040,RAM
Sensor,2007568,RUNNING,STATE
Sensor,2008098,RUNNING,STATE
Heavy,2057533,RUNNING,STATE
Blink,2057537,RUNNING,STATE
Sensor,2057541,RUNNING,STATE
Sensor,2057559,RUNNING,STATE
Sensor,2058089,RUNNING,STATE
Heavy,2107533,RUNNING,STATE
Sensor,2107549,RUNNING,STATE
Sensor,2108079,RUNNING,STATE
Sensor,2157532,RUNNING,STATE
Sensor,2158062,RUNNING,STATE
Sensor,2207532,RUNNING,STATE
Sensor,2208062,RUNNING,STATE
Sensor,2257532,RUNNING,STATE
Sensor,2258062,RUNNING,STATE
Sensor,2307532,RUNNING,STATE
Sensor,2308062,RUNNING,STATE
Sensor,2357532,RUNNING,STATE
Sensor,2358062,RUNNING,STATE
Sensor,2407532,RUNNING,STATE
Sensor,2408062,RUNNING,STATE
Sensor,2457532,RUNNING,STATE
Sensor,2458062,RUNNING,STATE
SYSTEM_RAM,2507533,3040,RAM
Sensor,2507550,RUNNING,STATE
Sensor,2508080,RUNNING,STATE
Sensor,2557532,RUNNING,STATE
Sensor,2558062,RUNNING,STATE
Sensor,2607532,RUNNING,STATE
Sensor,2608062,RUNNING,STATE
Sensor,2657532,RUNNING,STATE
Sensor,2658062,RUNNING,STATE
Sensor,2707532,RUNNING,STATE
Sensor,2708062,RUNNING,STATE
Sensor,2757532,RUNNING,STATE
Sensor,2758062,RUNNING,STATE
Sensor,2807532,RUNNING,STATE
Sensor,2808062,RUNNING,STATE
Sensor,2857532,RUNNING,STATE
Sensor,2858062,RUNNING,STATE
Sensor,2907532,RUNNING,STATE
Sensor,2908062,RUNNING,STATE
Sensor,2957532,RUNNING,STATE
Sensor,2958062,RUNNING,STATE
SYSTEM_RAM,3007535,3040,RAM
SYSTEM_RAM,3007550,3040,RAM
SYSTEM_RAM,3007685,3040,RAM
Sensor,3007701,RUNNING,STATE
Sensor,3008231,RUNNING,STATE
Sensor,3057532,RUNNING,STATE
Sensor,3058062,RUNNING,STATE
Heavy,3107533,RUNNING,STATE
Blink,3107537,RUNNING,STATE
Sensor,3107541,RUNNING,STATE
Sensor,3107559,RUNNING,STATE
Sensor,3108089,RUNNING,STATE
Heavy,3157533,RUNNING,STATE
Sensor,3157549,RUNNING,STATE
Sensor,3158079,RUNNING,STATE
Sensor,3207532,RUNNING,STATE
Sensor,3208062,RUNNING,STATE
Sensor,3257532,RUNNING,STATE
Sensor,3258062,RUNNING,STATE
